isbn,series,language,publisher,price,title,subtitle,authors,categories,published_year,average_rating,num_pages,ratings_count
9780802136688.00,,English,Grove Press,3.16,This boy's life,,Tobias Wolff,Biography & Autobiography,1999,3.98,304,22157
9780374529383.00,,English,Farrar Straus Giroux,6.4,The Fixer,A Novel,Bernard Malamud,Fiction,2004,3.95,335,8394
9780800871864.00,,English,Taplinger Publishing Company,5.44,Silence,,Shūsaku Endō,Fiction,1980,4.08,201,16188
9780385731058.00,Sisterhood #2,English,Delacorte Press,2.86,The Second Summer of the Sisterhood,,Ann Brashares,Juvenile Fiction,2004,3.79,373,72687
9780812565959.00,The Shadow Series #2,English,Tor Books,2.66,Shadow of the Hegemon,,Orson Scott Card,Fiction,2001,3.94,451,63691
9780767903820.00,,English,Broadway Books,2.37,I'm a Stranger Here Myself,Notes on Returning to America After Twenty Years Away,Bill Bryson,Biography & Autobiography,1999,3.9,304,47490
9780312423797.00,,English,Picador USA,3.07,Dry,A Memoir,Augusten Burroughs,Biography & Autobiography,2004,4.02,293,75017
9780439401876.00,,English,Scholastic Paperbacks,4.28,The Story of a Seagull and the Cat who Taught Her to Fly,,Luis Sepúlveda;Margaret Sayers Peden;Chris Sheban,Juvenile Fiction,2003,4.13,128,4791
9780312426231.00,,English,Picador,3.67,The Brooklyn Follies,A Novel,Paul Auster,Fiction,2006,3.83,306,17317
9780060885434.00,Little House #7,English,HarperTrophy,5.58,Little Town on the Prairie,,Laura Ingalls Wilder,Juvenile Fiction,2007,4.18,374,70683
9780812966299.00,Allan Quatermain #1,English,Modern Library,5.63,King Solomon's Mines,,Henry Rider Haggard;James Danly,Fiction,2002,3.8,264,33836
9781932664089.00,Scott Pilgrim #1,English,Oni Press,2.37,Scott Pilgrim's Precious Little Life,,,Comics & Graphic Novels,2004,4.16,168,149508
9780375760136.00,,English,Modern Library,4.17,Daniel Deronda,,George Eliot,Fiction,1876,3.83,796,19852
9780756402976.00,"Memory, Sorrow, and Thorn #2",English,Daw Books,8.75,Stone of Farewell,,Tad Williams,Fiction,2005,4.1,608,35850
9780375724503.00,,English,Vintage,4.83,Ghostwritten,A Novel,David Mitchell,Fiction,2001,4.06,426,20093
9780330371230.00,Stephanie Plum #5,English,St. Martin's Press,3.6,High Five,,Janet Evanovich,Bail bond agents,2000,4.18,336,99172
9781594481932.00,,English,Riverhead Books,2.76,A Long Way Down,,Nick Hornby,Fiction,2006,3.42,368,63741
9780751504385.00,,English,Warner Books,3.11,Skeleton Crew,,Stephen King,English fiction,1993,3.95,612,93593
9781400076192.00,,English,Anchor,3.05,Saturday,A Novel,Ian McEwan,Fiction,2006,3.63,289,50926
9780312424671.00,,English,Picador USA,4.51,Small Island,A Novel,Andrea Levy,Fiction,2004,3.93,441,20087
9780446696616.00,Women's Murder Club #1,English,Grand Central Publishing,8.8,1st to Die,,James Patterson,Fiction,2005,4.07,424,259028
9780312985349.00,Stephanie Plum #11,English,St. Martin's Press,3.15,Eleven on Top,,Janet Evanovich,Fiction,2006,4.16,321,89961
9780425217245.00,"Anita Blake, Vampire Hunter #15",English,Berkley Books,7.1,The Harlequin,,Laurell K. Hamilton,Fiction,2007,3.91,422,37413
9780345443601.00,Merry Gentry #4,English,Ballantine Books,4.66,A Stroke of Midnight,A Novel,Laurell K. Hamilton,Fiction,2006,4.07,385,28124
9780393324815.00,,English,W. W. Norton Company,2.71,Moneyball: The Art of Winning an Unfair Game,,Michael Lewis,Business & Economics,2003,4.26,317,78308
9780446354738.00,,English,Grand Central,1.91,Nothing Lasts Forever,,Sidney Sheldon,Fiction,1995,3.83,384,25396
9780872206038.00,,English,"Hackett Publishing Company, Inc.",11.88,Lysistrata,,Aristophanes;Sarah Ruden,Literary Criticism,2003,3.85,132,29881
9780099478423.00,,English,Vintage Classics,3.61,The Heart of the Matter,,Graham Greene,Fiction,2004,3.99,272,21116
9780316017442.00,,English,"Little, Brown and Company",5.76,The Terror,A Novel,Dan Simmons,Fiction,2007,4.05,769,28640
9780747571773.00,Wayside School #1,English,Bloomsbury Childrens Books,2.6,Sideways Stories from Wayside School,,Louis Sachar;Peter Allen,Children's stories,2004,4.15,144,79394
9780425181119.00,,English,Berkley,6.77,Strangers,,Dean Koontz,Fiction,2002,4,704,38003
9780141001821.00,,English,Penguin Books,0.87,In the Heart of the Sea,The Tragedy of the Whaleship Essex,Nathaniel Philbrick,History,2001,4.16,302,68051
9780679723691.00,,English,Vintage Contemporaries,0.88,Cathedral,Stories,Raymond Carver,Fiction,1989,4.29,230,21140
9780415254083.00,,English,Routledge Classics,11.98,Tractatus Logico-philosophicus,,Ludwig Wittgenstein,Philosophy,2001,4.06,142,12924
9780375407932.00,The Border Trilogy #1-3,English,Everyman's Library,10.59,The Border Trilogy,,Cormac McCarthy,Fiction,1999,4.43,1040,4468
9781563890352.00,The Sandman #4,English,Vertigo,26.75,Season of Mists,,Neil Gaiman;Kelley Jones,Comics & Graphic Novels,1992,4.54,217,49151
9780060920081.00,,English,William Morrow Paperbacks,2.94,The Lost Continent,Travels in Small Town America,Bill Bryson,Travel,1990,3.83,299,43779
9780340766187.00,Asian Saga: Chronological Order #6,English,Morrow,7.56,Whirlwind,,James Clavell,Fiction,1999,3.81,1231,5444
9781857232561.00,Magic Kingdom of Landover #1,English,Orbit,2.76,Magic Kingdom for Sale,Sold,Terry Brooks,Fantasy fiction,1987,3.88,324,29300
9780345439109.00,,English,Ballantine Books,2.67,Drowning Ruth,,Christina Schwarz,Fiction,2001,3.74,368,72319
9780743418713.00,,English,Washington Square Press,3.33,Salem Falls,,Jodi Picoult,Fiction,2002,3.81,434,65364
9780099460176.00,The Vampire Chronicles #10,English,Arrow,2.76,Blood Canticle,,Anne Rice,Horror tales,2004,3.72,400,18646
9780312243357.00,,English,Picador,2.64,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,Stories From Rwanda,Philip Gourevitch,History,1999,4.25,356,23498
9780060815929.00,Age of the Five #3,English,HarperCollins Publishers Inc.,2.76,Voice of the Gods,Age of the Five Trilogy,Trudi Canavan,Fiction,2007,4.08,592,9413
9780452286535.00,,English,G.P. Putnam's Sons,2.72,The Jane Austen Book Club,,Karen Joy Fowler,Fiction,2005,3.08,288,56434
9781406506587.00,La Comédie Humaine #38,English,Dodo Press,20.56,Lost Illusions,,Honoré de Balzac,Fiction,2006,4.16,656,6215
9780142000281.00,,English,Penguin Group,2.62,Getting Things Done,The Art of Stress-Free Productivity,David Allen,Business & Economics,2001,3.99,267,95950
9780812975215.00,Incerto #1,English,Random House Trade Paperbacks,5.24,Fooled By Randomness,The Hidden Role Of Chance In Life And In The Markets,Nassim Taleb,Business & Economics,2005,4.05,368,37122
9780451528643.00,Adventures of Tom and Huck #1-2,English,Signet Classics,5.26,"The Adventures of Tom Sawyer, And, Adventures of Huckleberry Finn",,Mark Twain,Fiction,2002,4.08,520,32742
9780802151803.00,The Rosy Crucifixion #1,English,Grove Press,17.01,Sexus,The Rosy Crucifixion I,Henry Miller,Fiction,1987,4.04,506,7024
9780812973013.00,,English,Random House Trade,2.86,Mountains Beyond Mountains,,Tracy Kidder,Biography & Autobiography,2004,4.22,333,59877
9780553588262.00,Odd Thomas #2,English,Bantam Books,2.86,Forever Odd,,Dean Ray Koontz,Fiction,2006,3.97,364,59417
9780886774264.00,Valdemar: The Last Herald-Mage #3,English,DAW Books,2.86,Magic's Price,,Mercedes Lackey,Fiction,1990,4.27,351,18397
9780446576987.00,Pendergast #7,English,Warner Books (NY),4.39,The Book of the Dead,,Douglas J. Preston;Lincoln Child,Fiction,2006,4.14,454,25505
9780425134351.00,Jack Ryan #1,English,Berkley,3.16,Patriot Games,,Tom Clancy,"Ryan, Jack (Fictitious character)",1992,4.13,503,164306
9780312966973.00,Stephanie Plum #4,English,St. Martin's Press,2.83,Four to Score,,Janet Evanovich,Fiction,1999,4.17,313,114593
9780140445503.00,Gargantua and Pantagruel #1-5,English,Penguin Classics,5.66,Gargantua and Pantagruel,,Francois Rabelais;Michael Andrew Screech,Biography & Autobiography,2006,3.71,1041,11605
9780440228844.00,Den of Shadows #2,English,Laurel Leaf,2.94,Demon in My View,,Amelia Atwater-Rhodes,Juvenile Fiction,2001,4.04,192,10803
9780440421702.00,,English,Yearling Books,2.86,Hoot,,Carl Hiaasen,Bullying,2006,3.82,292,83557
9781400098033.00,Nicholai Hel #1,English,Broadway Books,7.86,Shibumi,A Novel,Trevanian,Fiction,2005,4.22,480,9001
9780752861746.00,,English,Orion,3.67,The Postman Always Rings Twice,,James M. Cain,Adultery,2005,3.8,116,22279
9781579126254.00,Miss Marple #1,English,Black Dog & Leventhal Publishers,8.54,Murder at the Vicarage,A Miss Marple Mystery,Agatha Christie,Fiction,2005,4.05,288,113459
9780345476982.00,Rizzoli & Isles #5,English,Ballantine Books,3.4,Vanish,A Novel,Tess Gerritsen,Fiction,2006,4.12,401,45210
9780753809259.00,,English,Phoenix Press,1.79,The White Hotel,,D. M. Thomas,Austria,1999,3.83,240,3058
9783425040844.00,,English,,3.31,In the Country of Last Things,Hauptbd.,Paul Auster,,2001,3.91,188,6230
9781400064663.00,,English,Random House,3.82,Peony in Love,A Novel,Lisa See,Fiction,2007,3.6,273,36508
9780140187076.00,,English,,16.35,J R,,William Gaddis,Fiction,1993,4.28,752,2027
9780380789023.00,,English,Avon Books,4.89,Smoke and Mirrors,Short Fictions and Illusions,Neil Gaiman,Fiction,2005,4.05,365,50702
9780060987466.00,,English,It Books,5.9,The Long Hard Road Out of Hell,,Marilyn Manson;Neil Strauss,Biography & Autobiography,1999,3.89,275,21524
9780571225392.00,,English,Faber and Faber,3.71,The Unconsoled,,Kazuo Ishiguro,Fiction,2005,3.53,535,7083
9780553286397.00,The Death Gate Cycle #1,English,Spectra,6.6,Dragon Wing,,Margaret Weis;Tracy Hickman,Fiction,1990,3.95,430,22899
9780515139754.00,"Anita Blake, Vampire Hunter #12",English,Jove,3.25,"Incubus Dreams: An Anita Blake, Vampire Hunter Novel",,Laurell K. Hamilton,Fiction,2005,3.79,722,41105
9780316016650.00,Cirque du Freak #10,English,"Little, Brown Books for Young Readers",3.16,Cirque Du Freak #10: The Lake of Souls,Book 10 in the Saga of Darren Shan,Darren Shan,Young Adult Fiction,2006,4.19,272,18011
9781564781314.00,,English,Dalkey Archive Press,7.3,Point Counter Point,,Aldous Huxley,Fiction,2001,3.85,432,9227
9780812968378.00,Funny in Farsi #1,English,Random House Trade Paperbacks,5.26,Funny in Farsi,A Memoir of Growing Up Iranian in America,Firoozeh Dumas,Biography & Autobiography,2004,3.79,240,12072
9780805390452.00,,English,Addison Wesley,169.88,The Feynman Lectures on Physics,,Richard Phillips Feynman;Robert B. Leighton;Matthew Linzee Sands,Science,2006,4.6,1552,6120
9780312983864.00,Stephanie Plum #8,English,St. Martin's Press,3.78,Hard Eight,A Stephanie Plum Novel,Janet Evanovich,Fiction,2003,4.17,326,99289
9780679745648.00,,English,Vintage,5.58,"Other Voices, Other Rooms",,Truman Capote,Fiction,1994,3.81,232,10212
9780140283358.00,,English,Penguin Books,3.16,Waiting for the Barbarians,,J. M. Coetzee,Fiction,1980,3.93,152,17232
9780140236231.00,Regeneration #1,English,Penguin Books Ltd,2.67,Regeneration,,Pat Barker,Fiction,1997,4.03,256,19320
9780805080490.00,The Chronicles of Prydain #2,English,Square Fish,3.99,The Black Cauldron,,Lloyd Alexander,Juvenile Fiction,2006,4.14,182,51994
9780140135152.00,,English,Penguin,2.25,Ways of Seeing,A Book,John Berger;Sven Blomberg;Chris Fox;Michael Dibb;Richard Hollis,Art,1972,3.78,176,177890
9780156028790.00,,English,Mariner Books,4.48,The Cave,,José Saramago,Fiction,2003,3.83,307,7390
9780385333788.00,,English,Dial Press,14.05,Player Piano,,Kurt Vonnegut,Fiction,1999,3.87,341,38620
9780345458940.00,Rizzoli & Isles #4,English,Ballantine Books,2.86,Body Double,,tess girritsen,Fiction,2005,4.18,432,34772
9780679735250.00,,English,Vintage,2.8,Dispatches,,Michael Herr,History,1991,4.23,260,12590
9780671739164.00,,English,Pocket Books,6.55,The Story of Philosophy,,Will Durant,Biography & Autobiography,1991,4.11,704,10039
9780385481960.00,Youth in Revolt #1,English,Broadway Books,2.86,Youth in Revolt,The Journals of Nick Twisp,C. D. Payne,Fiction,1996,4.02,512,8158
9780385339650.00,,English,Delta,3,The King of Torts,,John Grisham,Fiction,2005,3.67,276,65756
9780312980146.00,Stephanie Plum #7,English,St. Martin's Press,3.8,Seven Up,A Stephanie Plum Novel,Janet Evanovich,Fiction,2002,4.16,337,101029
9781400097029.00,,English,Vintage,3.14,The Sea,,John Banville,Fiction,2006,3.51,195,18513
9780142501528.00,Redwall #5,English,Firebird,11.18,Salamandastron,,Brian Jacques;Gary Chalk,Juvenile Fiction,2003,4.06,400,25484
9781841492056.00,The Shadow Series #4,English,,3.16,Shadow of the Giant,,Orson Scott Card,Life on other planets,2005,3.99,388,40738
9780439856263.00,The Keys to the Kingdom #1,English,Scholastic,5.26,Mister Monday,,Garth Nix,Juvenile Fiction,2005,3.78,384,30795
9781400032051.00,,English,Vintage,10.54,1491,New Revelations of the Americas Before Columbus,Charles C. Mann,History,2006,4.02,541,51593
9780064472777.00,All-American Girl #1,English,HarperTrophy,3.32,All-American Girl,,Meg Cabot,Juvenile Fiction,2003,3.74,398,58422
9780446676434.00,When the Wind Blows #1,English,Grand Central Publishing,3.51,When the Wind Blows,,James Patterson,Fiction,2000,3.92,416,41994
9780349100135.00,Auschwitz Trilogy #1-2,English,Abacus,3.11,If this is a Man ; and The Truce,,Primo Levi,History,1987,4.55,419,10625
9780312940669.00,Courtney #1,English,St. Martin's Paperbacks,5.26,When the Lion Feeds,,Wilbur Smith,Fiction,2006,4.18,544,9802
9780312349493.00,Stephanie Plum #13,English,St. Martin's Press,3.87,Lean Mean Thirteen,,Janet Evanovich,Fiction,2007,4.09,310,78572
9780141186160.00,,English,Penguin Books Ltd,9.89,"The Sea, the Sea",,Iris Murdoch,Fiction,2001,3.92,528,12428
9780440241898.00,Shopaholic #3,English,Dell Publishing Company,4.48,Shopaholic Ties the Knot,,Sophie Kinsella,Fiction,2004,3.77,407,93132
9780805031492.00,,English,Holt McDougal,15.66,Escape from Freedom,,Erich Fromm,Political Science,1994,4.24,301,6825
9780156010597.00,,English,Mariner Books,1.68,All the Names,,José Saramago;Margaret Jull Costa,Fiction,2001,3.89,245,10634
9781563892264.00,The Sandman #3,English,DC Comics,33.09,Dream Country,,Neil Gaiman;Kelley Jones;Charles Vess,Comics & Graphic Novels,1995,4.24,111,80439
9780330419123.00,,English,Pan MacMillan,4.28,Under the Banner of Heaven,A Story of Violent Faith,Jon Krakauer,Mormon fundamentalism,2004,3.99,369,126672
9780425179611.00,,English,Berkley Publishing Group,1.79,It's Not About the Bike,My Journey Back to Life,Lance Armstrong,Biography & Autobiography,2001,3.72,294,34588
9780006280934.00,,English,HarperOne,2.51,The Problem of Pain,,Clive Staples Lewis,Christian life,2002,4.09,176,37569
9780679724698.00,The History of Sexuality #1,English,Vintage,10.86,The History of Sexuality,Women's Decisions Concerning Contraception,Michel Foucault,Sex customs,1990,4.04,176,14218
9780141311401.00,Roald Dahl's Autobiography #1,English,Puffin Books,1.45,Boy,Tales of Childhood,Roald Dahl,"Authors, English",2001,4.1,176,42784
9780140447972.00,,English,Penguin Classics,2.28,Sentimental Education,,Gustave Flaubert;Robert Baldick;Geoffrey Wall,Fiction,1964,3.83,460,13081
9780349111889.00,,English,Abacus,4.46,Brief Interviews with Hideous Men,,David Foster Wallace,Misogyny,2001,3.87,273,17500
9780679734499.00,,English,Vintage,4.49,Dead Babies,,Martin Amis,Fiction,1975,3.36,206,5652
9781563893308.00,Kingdom Come #1-4,English,DC Comics,7.86,Kingdom Come,,Mark Waid;Alex Ross;Todd Klein,Comics & Graphic Novels,1997,4.25,231,45332
9780312265052.00,,English,Picador,6.31,The Naked and the Dead,"50th Anniversary Edition, With a New Introduction by the Author",Norman Mailer,Fiction,2000,3.94,721,20541
9780374502003.00,,English,Farrar Straus Giroux,2.85,The Natural,A Novel,Bernard Malamud,Fiction,1952,3.63,231,8568
9780743249294.00,Wideacre #1,English,Washington Square Press,1.45,Wideacre,A Novel,Philippa Gregory,Fiction,2003,3.3,656,18538
9780553572988.00,Hyperion Cantos #4,English,Spectra,6.39,The Rise of Endymion,,Dan Simmons,Fiction,1998,4.17,709,34995
9780446362665.00,Seasons of Horror #1,English,Warner Books,5.27,Summer of Night,,Dan Simmons,Fiction,1992,4.02,600,15327
9780330418881.00,Boy #3,English,Pan Macmillian,1.45,Every Boy's Got One,,Meg Cabot,Americans,2005,3.77,328,20562
9780143037231.00,Nursery Crime #1,English,Penguin,8.82,The Big Over Easy,A Nursery Crime,Jasper Fforde,Fiction,2006,3.93,383,26532
9780425147580.00,Jack Ryan #7,English,Berkley Books,0.9,Debt of Honor,,Tom Clancy,Fiction,1995,4.05,990,37878
9780330487191.00,,English,Picador,1.07,A House for Mr Biswas,,Vidiadhar Surajprasad Naipaul,Autonomy (Psychology).,1961,3.82,623,14782
9780140065503.00,,English,Penguin Books,3.66,Water Music,,T. Coraghessan Boyle,Fiction,1981,4.17,437,3128
9780330490269.00,,English,Picador,3.11,Dirt Music,,Tim Winton,Fiction,2008,3.86,465,9121
9780805080520.00,The Chronicles of Prydain #5,English,Square Fish,1.64,The High King,,Lloyd Alexander,Juvenile Fiction,2006,4.24,253,47268
9780192840318.00,,English,Oxford University Press,3.05,"Evelina, Or, The History of a Young Lady''s Entrance Into the World",,Fanny Burney,Fiction,2002,3.66,455,11701
9780441013678.00,Sprawl #2,English,Ace Books,11.17,Count Zero,,William Gibson,Fiction,2006,4.01,308,36066
9781932796780.00,Dragonlance: Chronicles #2,English,Devil's Due Publishing,27.15,Dragons of Winter Night,,Margaret Weis;Tracy Hickman;Andrew Dabb,Comics & Graphic Novels,2007,4.14,358,33846
9780060527983.00,,English,HarperOne,4.1,Warrior of the Light,A Manual,Paulo Coelho,Fiction,2004,3.7,142,21578
9780806501901.00,,English,Citadel,3.46,The Broken Wings,,Kahlil Gibran,,1989,3.92,132,6175
9780439405577.00,Guardians of Ga'Hoole #1,English,Scholastic Paperbacks,3.72,Don't Know Much about American History,,Kenneth C. Davis,United States,2003,3.9,222,21169
9780060727536.00,,English,HarperOne,1.79,Cash,The Autobiography,Johnny Cash,Biography & Autobiography,2003,4.07,310,16485
9780689860065.00,Harper Hall of Pern #3,English,Simon & Schuster Aladddin Paperbacks,4.63,Dragondrums,,Anne McCaffrey,Juvenile Fiction,2003,4.06,243,27535
9780385729369.00,Sisterhood #4,English,Delacorte Books,3.29,Forever in Blue,The Fourth Summer of the Sisterhood,Ann Brashares,Juvenile Fiction,2007,3.81,384,60767
9780312323868.00,Darcy & Rachel #2,English,Griffin,1.58,Something Blue,,Emily Giffin,Fiction,2006,3.93,338,186552
9780140436143.00,,English,Penguin Classics,3.11,Martin Chuzzlewit,,Charles Dickens,Fiction,1999,3.83,830,12722
9780631231271.00,,English,"Blackwell Publishing, Inc.",34.15,Philosophical Investigations,"The German Text, with a Revised English Translation 50th Anniversary Commemorative Edition",Ludwig Wittgenstein,Philosophy,1991,4.23,464,10629
9780141180670.00,,English,Penguin Classics,15.37,Pan,From the Papers of Lieutenant Thomas Glahn,Knut Hamsun,Fiction,1998,3.9,181,5457
9780312315733.00,,English,St. Martin's Griffin,2.86,Little Children,A Novel,Tom Perrotta,Fiction,2004,3.62,355,25811
9780345441706.00,The Godfather #2,English,Ballantine Books,8.13,The Sicilian,,Mario Puzo,Fiction,2001,3.96,416,15801
9780060885380.00,Little House #2,English,HarperTrophy,3.99,Farmer Boy,,Laura Ingalls Wilder,Juvenile Fiction,2006,4.06,357,44132
9780375400704.00,The Trilogy #1-3,English,Everyman's Library,16.67,Molloy,Malone Dies ; The Unnamable,Samuel Beckett,Fiction,1997,4.28,512,6612
9780451203267.00,,English,Signet,1.75,The Stranger Beside Me,,Ann Rule,True Crime,2001,4.14,550,47930
9780099471431.00,Lives of the Mayfair Witches #2,English,Arrow Books,3.4,Lasher,,Anne Rice,Demonology,2004,3.85,883,48445
9780374529949.00,,English,"Farrar, Straus and Giroux",12.82,Play It As It Lays,A Novel,Joan Didion,Fiction,2005,3.87,231,21868
9780425208915.00,Goddess Summoning #4,English,Berkley Sensation,4.6,Goddess of the Rose,,P. C. Cast,Fiction,2006,4.14,345,5367
9780440229407.00,Den of Shadows #3,English,Laurel Leaf,3.16,Shattered Mirror,,Amelia Atwater-Rhodes,Juvenile Fiction,2003,4.03,240,9290
9780060839789.00,,English,Harper Perennial,8.93,The Professor and the Madman,"A Tale of Murder, Insanity, and the Making of the Oxford English Dictionary",Simon Winchester,Biography & Autobiography,2005,3.84,242,81384
9780060815912.00,Age of the Five #2,English,HarperCollins Publishers Inc.,2.99,Last of the Wilds,Age of the Five Trilogy,Trudi Canavan,Fiction,2006,4.03,576,9725
9780060989156.00,,English,Dey Street Books,3.59,The Dirt,Confessions of the World's Most Notorious Rock Band,Tommy Lee;Vince Neil;Nikki Sixx;Mick Mars,Biography & Autobiography,2002,4.16,431,26377
9780316000956.00,Cirque du Freak #5,English,"Little, Brown Books for Young Readers",5.26,Trials of Death,,Darren Shan,Juvenile Fiction,2005,4.25,202,23943
9780743477888.00,,English,Simon & Schuster,3.47,Undaunted Courage,The Pioneering First Mission to Explore America's Wild Frontier,Stephen E. Ambrose,Explorers,2003,4.22,592,38555
9780515140873.00,"Anita Blake, Vampire Hunter #13",English,Berkley Books,3.35,Micah. (Anita Blake,Vampire Hunter #13). (Pbk.),Laurell K. Hamilton,"Blake, Anita (Fictitious character)",2006,3.63,245,39241
9780345436917.00,,English,Ballantine Books,3.67,The Dress Lodger,,Sheri Holman,Fiction,2001,3.57,291,6574
9780345350800.00,,English,Ballantine Books,2.53,The Best of H.P. Lovecraft,Bloodcurdling Tales of Horror and the Macabre,H. P. Lovecraft,Fiction,1982,4.31,406,26613
9780441005963.00,Riddle-Master #1-3,English,Ace,3.55,Riddle-master,The Complete Trilogy,Patricia A. McKillip,Fiction,1999,4.22,578,9117
9780330340328.00,Night's Dawn #1,English,Pan Books,2.76,The Reality Dysfunction,,Peter F. Hamilton,English fiction,1997,4.14,1223,26269
9780007120819.00,Hercule Poirot #5,English,HarperCollinsPublishers,2.24,The Big Four,,Agatha Christie,Detective and mystery stories,2002,3.59,272,22155
9780143039570.00,,English,Penguin Classics,7.76,The Adventures of Augie March,,Saul Bellow;Christopher Hitchens,Fiction,2006,3.85,586,14372
9780440235163.00,,English,Dell,2.86,The Smoke Jumper,,Nicholas Evans,Fiction,2002,4.06,576,28164
9781573225052.00,Duluoz Legend,English,Riverhead Books,12.13,Desolation Angels,,Jack Kerouac,Fiction,1995,3.92,432,9450
9780743271325.00,Wyoming Stories,English,Scribner,3.49,Brokeback Mountain,Now a Major Motion Picture,Annie Proulx,Fiction,2005,3.94,55,23424
9780156007474.00,,English,Mariner Books,4.94,Slammerkin,,Emma Donoghue,Fiction,2000,3.7,410,12262
9781400043330.00,,English,Everyman's Library,5.99,The General in His Labyrinth,A Novel,Gabriel García Márquez,Fiction,2004,3.68,248,11460
9780143036555.00,Civilizations Rise and Fall #2,English,Penguin Books Ltd. (London),2.87,Collapse,How Societies Choose to Fail Or Succeed,Jared M. Diamond,History,2006,3.93,608,49219
9780141183725.00,,English,Penguin Books Ltd,3.44,Keep the Aspidistra Flying,,George Orwell,Fiction,2000,3.88,277,11220
9780375724428.00,,English,Vintage International,11.09,The Stories of John Cheever,,John Cheever,United States,1978,4.27,693,12040
9780312997113.00,,English,St. Martin's Paperbacks,2.9,As the Crow Flies,,Jeffrey Archer,Fiction,2004,4.08,800,15772
9780385339094.00,,English,Bantam,3.91,The Street Lawyer,,John Grisham,Fiction,2005,3.83,384,86911
9780316182744.00,,English,Little Brown and Company,3.17,Paint it Black,A Novel,Janet Fitch,Fiction,2006,3.48,387,9884
9780515141665.00,Circle Trilogy #2,English,Jove,1.64,Dance of the Gods,,Nora Roberts,Fiction,2006,4.14,321,24552
9781416947400.00,,English,Gallery Books,3.16,He's Just Not That Into You (The Newly Expanded Edition),The No-Excuses Truth to Understanding Guys,Greg Behrendt;Liz Tuccillo,Family & Relationships,2006,3.66,208,51316
9780345376046.00,,English,Ballantine Books,3.82,Long Distance Life,,Marita Golden,African American families,1992,3.84,570,15896
9780441012398.00,,English,Ace Books,14.88,Deerskin,,Robin McKinley,Fiction,2005,3.89,384,17073
9780156001458.00,,English,Mariner Books,4.19,Winterdance,The Fine Madness of Running the Iditarod,Gary Paulsen,Pets,1994,4.25,272,5128
9780060997021.00,,English,Harper Perennial,6.67,Life Is Elsewhere,,Milan Kundera;Aaron Asher,Fiction,2000,3.95,432,9792
9780385496094.00,,English,Anchor,2.6,Traveling Mercies,Some Thoughts on Faith,Anne Lamott,Biography & Autobiography,2000,4.16,275,38829
9781577780724.00,Jesus Freaks #1,English,Albury Publishing,1.22,Jesus Freaks,Stories of Those who Stood for Jesus : the Ultimate Jesus Freaks,DC Talk (Musical group),Religion,1999,4.2,383,18779
9780385311779.00,,English,Delta,6.45,Rain of Gold,,Victor Villaseñor,Biography & Autobiography,1992,4.48,576,5673
9780385333139.00,,English,Delta Publishing,4.95,Black and Blue,A Novel,Anna Quindlen,Fiction,2000,3.88,288,73165
9780553375930.00,Sisterhood #3,English,Ember,3.07,Girls in Pants,The Third Summer of the Sisterhood,Ann Brashares,Juvenile Fiction,2005,3.82,338,59536
9780143039655.00,,English,Penguin Classics,5.26,Malgudi Days,,R. K. Narayan,Fiction,1982,4.21,264,13066
9781860465024.00,,English,Vintage Classics,1.85,The Year of the Death of Ricardo Reis,,José Saramago,Fiction,1998,4.03,384,3618
9780316905749.00,Cirque du Freak #4,English,"Little, Brown Young Readers",1.59,Vampire Mountain,,Darren Shan,Juvenile Fiction,2004,4.17,208,25759
9780140367355.00,Five Children #1,English,Puffin,2.67,Five Children and it,,Edith Nesbit,Juvenile Fiction,1996,3.88,237,18215
9780345477361.00,Star Wars: Darth Bane #1,English,Del Rey Books,10.42,Darth Bane,Path of Destruction : a Novel of the Old Republic,Drew Karpyshyn,Fiction,2006,4.27,324,15796
9780060735456.00,Pine Cove #2,English,William Morrow Paperbacks,6.85,The Lust Lizard of Melancholy Cove,,Christopher Moore,Fiction,2004,3.86,304,28420
9780142003343.00,,English,Penguin Books,9.91,The Blank Slate,The Modern Denial of Human Nature,Steven Pinker,Psychology,2003,4.08,528,17851
9780553588255.00,,English,Bantam,3.37,Velocity,,Dean Ray Koontz,Fiction,2005,3.86,460,51746
9780385722438.00,,English,Anchor,8.2,Ella Minnow Pea,A Novel in Letters,Mark Dunn,Fiction,2001,3.85,208,22865
9780802135780.00,,English,Grove Press,5.23,Sexing the Cherry,,Jeanette Winterson,Fiction,1989,3.83,167,11567
9780836221367.00,Calvin and Hobbes #11,English,Andrews McMeel Publishing,4.4,It's a Magical World,,Bill Watterson,Humor,1996,4.76,176,23336
9780553564938.00,The Riftwar Saga #2,English,Spectra Books,3.22,Magician,Master,Raymond E. Feist,Fiction,1993,4.26,499,57779
9780486424583.00,Brangwen Family #2,English,Dover Publications,2.86,Women in Love,,D. H. Lawrence,Fiction,2003,3.66,416,23892
9780836217353.00,Calvin and Hobbes #8,English,Andrews McMeel Publishing,2.51,The Days Are Just Packed,,Bill Watterson,Humor,1993,4.69,176,20021
9780425209424.00,Blood Coven Vampire #1,English,Berkley,0.85,Boys That Bite,,Mari Mancusi,Juvenile Fiction,2006,3.68,272,10490
9781841957173.00,,English,Canongate U.S.,12.52,The Penelopiad,,Margaret Atwood,Fiction,2005,3.69,198,26779
